BAscore,abv,beer_img,beer_name,brewery,desc,num_reviews,ranking
3.33,7.00,https://cdn.beeradvocate.com/im/beers/69836.jpg,Ironshore Bock,Cayman Islands Brewery Ltd.,None provided.,16,43948
3.5,7.00,https://cdn.beeradvocate.com/im/beers/41696.jpg,Boaks Two Blind Monks Ale,Boak Beverage,None provided.,71,41308
4.08,9.99,https://cdn.beeradvocate.com/im/beers/116348.jpg,Blakkr,Real Ale Brewing Company,This is the 12oz canned Real Ale version.,23,5969
3.81,5.20,https://cdn.beeradvocate.com/im/beers/184051.jpg,GPA (German Pale Ale),3 Nations Brewing Co.,"A German style pale ale debatably does not exist in the craft beer industry. Until now. 3 Nations’ German Pale Ale (GPA) is our experiment turned calling card. We couldn’t be more proud of the way this beer’s enormous citrus, passion fruit, and lemony like aromas blend with a bitterness that gives it a recognizable finish. Plus, the well-rounded malt profile balances out the American hops. That’s right, we used American hops to brew this cross of a German Alt/Koelsch. It’s not blasphemy. Just a revised version of a traditional style, with a little greatness mixed in.",14,23228
3.79,5.10,https://cdn.beeradvocate.com/im/beers/118004.jpg,Little London,Pikes Peak Brewing Company,None provided.,6,25119
3.86,5.50,https://cdn.beeradvocate.com/im/beers/6481.jpg,Moat Bone Shaker Brown,Moat Mountain Smoke House & Brewing Co.,"An English-style brown ale. This beer has a biscuit-like smoothness with a rich, malt body and medium hop bitterness.",41,18909
3.69,5.50,https://cdn.beeradvocate.com/im/beers/31412.jpg,Madtown Nutbrown,Ale Asylum,A blend of seven unique malts give this brown ale an earthy aroma and a flavor reminiscent of caramel with a slightly creamy finish.,107,32471
3.5,8.30,,Mammoth,Greenbush Brewing Company,None provided.,4,39388
3.78,10.00,https://cdn.beeradvocate.com/im/beers/65239.jpg,Long Winter's Nap,Blue Mountain Brewery,None provided.,20,25553
3.74,6.00,,Eisbock,Gananoque Brewing Company,None provided.,0,-
3.56,8.00,https://cdn.beeradvocate.com/im/beers/53025.jpg,Fireman's Brew Brunette Beer,"Fireman's Brew, Inc.",None provided.,31,39456
3.99,5.60,https://cdn.beeradvocate.com/im/beers/119506.jpg,Eldir,Banded Brewing Co.,"Bamberg-style RauchbierBrewed with 100% Beechwood smoked malt. Rugged yet pleasant notes of campfire smoke, hearth-baked bread + mulling spices. The Fire Kindler.",0,14262
3.38,5.50,https://cdn.beeradvocate.com/im/beers/43431.jpg,Dundee Oktoberfest,Genesee Brewing Co. / Dundee Brewing Co.,None provided.,148,44133
2.89,5.00,https://cdn.beeradvocate.com/im/beers/2054.jpg,U Rousse,Unibroue,None provided.,30,46658
3.56,5.60,https://cdn.beeradvocate.com/im/beers/36100.jpg,Muddy Creek Lager,The Defiant Brewing Company,None provided.,25,39068
3.88,4.80,https://cdn.beeradvocate.com/im/beers/193038.jpg,Fruitlands - Apricot,Modern Times Beer,"Fruitlands is tart, fruity, and frighteningly delicious. The sour, salty base beer lays down the funky refreshment, while a heavy dose of apricot turns the whole thing into a wall-to-wall stone fruit fiesta. It’s a marvelous mix of elements that collides with your mouth like a fruit-filled asteroid of flavor traveling at the supersonic speed of party.",31,17350
